,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,75,US,1604805894,93,42.6,-73.97,53.01,3.2
1,jamestown,1,US,1604805885,58,42.1,-79.24,53.6,4.7
2,busselton,97,AU,1604805897,62,-33.65,115.33,72.0,1.01
3,port elizabeth,0,ZA,1604805930,93,-33.92,25.57,57.2,4.7
4,upernavik,36,GL,1604805898,78,72.79,-56.15,1.18,7.96
5,dikson,100,RU,1604805883,91,73.51,80.55,-1.79,13.4
6,punta arenas,20,CL,1604805725,71,-53.15,-70.92,51.8,24.16
7,sandusky,0,US,1604806225,80,41.35,-83.13,53.01,8.59
8,yellowknife,90,CA,1604805906,92,62.46,-114.35,6.8,3.91
9,east london,0,ZA,1604805899,77,-33.02,27.91,66.2,14.99
10,luganville,75,VU,1604805772,74,-15.53,167.17,84.2,9.17
11,ust-koksa,0,RU,1604806226,72,50.27,85.61,39.2,1.88
12,vostok,96,RU,1604806141,93,46.49,135.88,28.38,4.36
13,ribeira grande,19,PT,1604805929,70,38.52,-28.7,61.18,15.41
14,hobart,20,AU,1604805701,47,-42.88,147.33,66.99,11.41
15,lebu,0,CL,1604805880,85,-37.62,-73.65,52.57,20.29
16,saint-philippe,0,RE,1604805891,57,-21.36,55.77,75.2,3.36
17,bengkulu,99,ID,1604805922,63,-3.8,102.27,84.7,3.51
18,hilo,90,US,1604805880,83,19.73,-155.09,75.2,4.7
19,odweyne,6,SO,1604806227,37,9.41,45.06,69.26,2.44
20,atuona,23,PF,1604805915,79,-9.8,-139.03,77.56,13.65
21,fairbanks,90,US,1604805669,85,64.84,-147.72,23.0,4.7
22,mar del plata,90,AR,1604805814,100,-38.0,-57.56,61.0,6.93
23,hermanus,85,ZA,1604805885,81,-34.42,19.23,59.0,4.0
24,redlands,90,US,1604805992,71,34.06,-117.18,53.01,5.82
25,mataura,0,NZ,1604805884,58,-46.19,168.86,54.0,11.99
26,ahipara,55,NZ,1604805785,80,-35.17,173.17,60.04,10.69
27,buta,99,CD,1604806228,98,2.79,24.73,68.88,1.05
28,mahebourg,75,MU,1604805893,88,-20.41,57.7,73.4,9.17
29,port alfred,0,ZA,1604805883,77,-33.59,26.89,64.18,8.7
30,ihosy,37,MG,1604806228,78,-22.4,46.12,70.57,6.58
31,kaitangata,0,NZ,1604805906,43,-46.28,169.85,55.99,8.99
32,thompson,90,CA,1604805671,85,55.74,-97.86,15.8,5.82
33,vardo,60,NO,1604805935,78,70.37,31.11,39.4,36.82
34,provideniya,0,RU,1604805905,93,64.38,-173.3,27.41,5.48
35,labytnangi,98,RU,1604806229,98,66.66,66.42,21.56,1.57
36,avarua,67,CK,1604805888,73,-21.21,-159.78,77.0,3.36
37,kaduqli,0,SD,1604806230,27,11.02,29.72,70.93,9.04
38,victoria,75,HK,1604805785,56,22.29,114.16,79.0,3.0
39,morgan city,90,US,1604806231,88,29.7,-91.21,69.8,8.05
40,bredasdorp,44,ZA,1604805901,82,-34.53,20.04,57.2,8.05
41,pulaski,1,US,1604806231,87,34.77,-92.3,62.01,5.44
42,carnarvon,41,AU,1604805906,61,-24.87,113.63,77.0,16.11
43,poronaysk,100,RU,1604806232,81,49.22,143.12,33.84,11.34
44,ushuaia,40,AR,1604805892,47,-54.8,-68.3,55.4,18.34
45,butaritari,66,KI,1604805881,69,3.07,172.79,81.28,8.5
46,egvekinot,98,RU,1604805943,98,66.32,-179.17,20.57,5.06
47,berlevag,98,NO,1604805948,74,70.86,29.09,39.34,35.16
48,muros,89,ES,1604805978,87,42.78,-9.06,62.01,20.0
49,qeshm,40,IR,1604806236,78,26.96,56.27,75.2,9.17
50,djougou,0,BJ,1604806236,73,9.71,1.67,69.8,4.7
51,puerto el triunfo,20,SV,1604806236,94,13.28,-88.55,77.0,1.12
52,new norfolk,0,AU,1604805890,39,-42.78,147.06,66.99,1.99
53,lompoc,1,US,1604805907,76,34.64,-120.46,51.8,10.49
54,cherskiy,99,RU,1604805909,94,68.75,161.3,4.19,6.2
55,kapaa,90,US,1604805890,88,22.08,-159.32,78.8,13.87
56,georgetown,20,MY,1604805714,74,5.41,100.34,86.0,4.7
57,nizhniy lomov,47,RU,1604806237,90,53.53,43.68,38.03,14.38
58,cape town,75,ZA,1604805882,93,-33.93,18.42,59.0,14.99
59,cidreira,36,BR,1604805925,85,-30.18,-50.21,67.73,15.39
60,ligayan,56,PH,1604806237,73,4.65,119.47,82.78,9.66
61,fare,98,PF,1604805786,74,-16.7,-151.02,80.08,10.8
62,ayan,99,RU,1604805908,86,56.45,138.17,11.68,18.21
63,nahrin,14,AF,1604806238,15,36.06,69.13,70.79,4.41
64,nakhon nayok,45,TH,1604806238,68,14.17,101.1,84.0,3.11
